 0.1000E-01 0.4152E-02 0.3042E-02 0.2097E-02 0.1394E-02 0.9111E-03 0.5891E-03 
 0.1585E-01 0.5464E-02 0.3851E-02 0.2592E-02 0.1703E-02 0.1106E-02 0.7113E-03 
 0.2512E-01 0.6985E-02 0.4778E-02 0.3166E-02 0.2065E-02 0.1334E-02 0.8534E-03 
 0.3981E-01 0.8700E-02 0.5830E-02 0.3827E-02 0.2483E-02 0.1595E-02 0.1015E-02 
 0.6310E-01 0.1058E-01 0.7007E-02 0.4570E-02 0.2950E-02 0.1886E-02 0.1194E-02 
 0.1000E+00 0.1259E-01 0.8271E-02 0.5369E-02 0.3449E-02 0.2193E-02 0.1382E-02 
 0.1585E+00 0.1457E-01 0.9530E-02 0.6160E-02 0.3938E-02 0.2491E-02 0.1562E-02 
 0.2512E+00 0.1626E-01 0.1060E-01 0.6825E-02 0.4342E-02 0.2734E-02 0.1705E-02 
 0.3981E+00 0.1730E-01 0.1125E-01 0.7205E-02 0.4560E-02 0.2856E-02 0.1774E-02 
 0.6310E+00 0.1752E-01 0.1134E-01 0.7226E-02 0.4546E-02 0.2832E-02 0.1751E-02 
 0.9800E+00 0.1841E-01 0.1180E-01 0.7447E-02 0.4647E-02 0.2875E-02 0.1767E-02 
 0.1000E+09 0.2154E+09 0.4642E+09 0.1000E+10 0.2154E+10 0.4642E+10 
 0.1000E-03 0.4209E-04 0.3082E-04 0.2123E-04 0.1410E-04 0.9207E-05 0.5950E-05 
 0.1585E-03 0.5581E-04 0.3927E-04 0.2639E-04 0.1733E-04 0.1124E-04 0.7227E-05 
 0.2512E-03 0.7213E-04 0.4922E-04 0.3256E-04 0.2121E-04 0.1368E-04 0.8748E-05 
 0.3981E-03 0.9134E-04 0.6101E-04 0.3994E-04 0.2586E-04 0.1660E-04 0.1056E-04 
 0.6310E-03 0.1140E-03 0.7509E-04 0.4881E-04 0.3144E-04 0.2007E-04 0.1270E-04 
 0.1000E-02 0.1409E-03 0.9198E-04 0.5945E-04 0.3808E-04 0.2418E-04 0.1522E-04 
 0.1585E-02 0.1730E-03 0.1122E-03 0.7216E-04 0.4599E-04 0.2905E-04 0.1819E-04 
 0.2512E-02 0.2116E-03 0.1365E-03 0.8729E-04 0.5533E-04 0.3478E-04 0.2167E-04 
 0.3981E-02 0.2576E-03 0.1654E-03 0.1052E-03 0.6634E-04 0.4148E-04 0.2574E-04 
 0.6310E-02 0.3125E-03 0.1995E-03 0.1263E-03 0.7923E-04 0.4931E-04 0.3048E-04 
 0.1000E-01 0.3774E-03 0.2397E-03 0.1509E-03 0.9422E-04 0.5839E-04 0.3596E-04 
 0.1585E-01 0.4534E-03 0.2864E-03 0.1794E-03 0.1115E-03 0.6884E-04 0.4227E-04 
 0.2512E-01 0.5411E-03 0.3402E-03 0.2121E-03 0.1312E-03 0.8074E-04 0.4944E-04 
 0.3981E-01 0.6405E-03 0.4006E-03 0.2486E-03 0.1533E-03 0.9404E-04 0.5743E-04 
 0.6310E-01 0.7495E-03 0.4666E-03 0.2884E-03 0.1773E-03 0.1085E-03 0.6614E-04 
 0.1000E+00 0.8632E-03 0.5351E-03 0.3296E-03 0.2020E-03 0.1233E-03 0.7506E-04 
